TVL,Range,Precision,Std_Agg_Fees_A,Std_Arb_Fees_A,Std_Total_Fees_A,Std_Vol_A_Pct,Std_Final_Price_A,Priv_Agg_Fees_A,Priv_Arb_Fees_A,Priv_Total_Fees_A,Priv_Vol_A_Pct,Priv_Final_Price_A,Priv_Profit,Leak_Over_Fees_Pct,Fee_Delta
$10M,±5%,1,2252.0122,0.0,2252.0122,75.13,1996.26,2252.0122,0.0,2252.0122,75.13,1996.26,0.0,0.0,0.0
$10M,±5%,10,2058.1654,0.0,2058.1654,68.66,1996.3868,2058.1654,0.0,2058.1654,68.66,1996.3868,0.0,0.0,0.0
$10M,±10%,1,1369.7696,0.0,1369.7696,45.73,1993.9763,1369.7696,0.0,1369.7696,45.73,1993.9763,0.0,0.0,0.0
$10M,±10%,10,1498.3172,0.0,1498.3172,50.0,1994.5971,1498.3172,0.0,1498.3172,50.0,1994.5971,0.0,0.0,0.0
$10M,±15%,1,812.9019,0.0,812.9019,27.12,1993.6054,814.7066,0.0,814.7066,27.18,1993.6385,0.0333,0.0041,1.8046
$10M,±15%,10,1200.6691,0.0,1200.6691,40.08,1993.5418,1200.6691,0.0,1200.6691,40.08,1993.5418,0.0,0.0,0.0
$1000K,±5%,1,2405.3609,263.6246,2668.9855,80.81,1963.0906,2584.0439,263.2602,2847.3041,86.78,1965.4547,76.689,2.6934,178.3185
$1000K,±5%,10,2039.7158,0.0,2039.7158,68.51,1964.1866,2039.7158,0.0,2039.7158,68.51,1964.1866,0.0,0.0,0.0
$1000K,±10%,1,2059.6405,507.3531,2566.9936,69.39,1948.981,2104.0328,517.3231,2621.3559,70.97,1944.2934,98.6391,3.7629,54.3623
$1000K,±10%,10,1483.3161,0.0,1483.3161,50.0,1946.6692,1483.3161,0.0,1483.3161,50.0,1946.6692,0.0,0.0,0.0
$1000K,±15%,1,619.6619,473.2964,1092.9583,20.9,1938.8907,383.3545,463.8064,847.1608,12.88,1938.1102,91.6995,10.8243,-245.7975
$1000K,±15%,10,1186.3488,0.0,1186.3488,40.08,1936.4121,1186.3488,0.0,1186.3488,40.08,1936.4121,0.0,0.0,0.0
$500K,±5%,1,2564.9519,416.1237,2981.0756,86.78,1931.5428,2689.8676,398.3993,3088.2669,91.0,1930.6385,81.1967,2.6292,107.1913
$500K,±5%,10,2028.5763,0.0,2028.5763,68.66,1928.4676,2028.3488,0.0,2028.3488,68.65,1928.4932,0.0399,0.002,-0.2274
$500K,±10%,1,743.7611,726.0823,1469.8434,25.29,1898.7483,1699.608,765.0902,2464.6982,57.76,1897.1463,69.0969,2.8035,994.8547
$500K,±10%,10,1466.9501,0.0,1466.9501,50.0,1894.8674,1466.9501,0.0,1466.9501,50.0,1894.8674,0.0,0.0,0.0
$500K,±15%,1,381.1062,647.3137,1028.4198,12.9,1877.8844,333.8139,648.0264,981.8403,11.33,1877.7435,55.0917,5.6111,-46.5795
$500K,±15%,10,1170.8842,0.0,1170.8842,40.08,1875.0005,1170.8842,0.0,1170.8842,40.08,1875.0005,0.0,0.0,0.0
