TVL,Range,Precision,Mode,Agg_Fees_A,Arb_Fees_A,Total_LP_Fees_A,Priv_Profit,Leak_Over_Fees_Pct,Volume_A_Pct,Volume_A,Volume_B,Final_Price_A,Final_Price_B
$10M,±5%,1,standard,2252.0122,0.0,2252.0122,0.0,0.0,75.13,751300.0,248700.0,1996.26,1996.5952
$10M,±5%,1,privileged,2252.0122,0.0,2252.0122,0.0,0.0,75.13,751300.0,248700.0,1996.26,1996.5952
$10M,±5%,10,standard,2058.1654,0.0,2058.1654,0.0,0.0,68.66,686575.0,313425.0,1996.3868,1996.3433
$10M,±5%,10,privileged,2058.1654,0.0,2058.1654,0.0,0.0,68.66,686575.0,313425.0,1996.3868,1996.3433
$10M,±10%,1,standard,1369.7696,0.0,1369.7696,0.0,0.0,45.73,457250.0,542750.0,1993.9763,1995.2187
$10M,±10%,1,privileged,1369.7696,0.0,1369.7696,0.0,0.0,45.73,457250.0,542750.0,1993.9763,1995.2187
$10M,±10%,10,standard,1498.3172,0.0,1498.3172,0.0,0.0,50.0,500000.0,500000.0,1994.5971,1994.5971
$10M,±10%,10,privileged,1498.3172,0.0,1498.3172,0.0,0.0,50.0,500000.0,500000.0,1994.5971,1994.5971
$10M,±15%,1,standard,812.9019,0.0,812.9019,0.0,0.0,27.12,271250.0,728750.0,1993.6054,1993.4981
$10M,±15%,1,privileged,814.7066,0.0,814.7066,0.0333,0.0041,27.18,271850.0,728150.0,1993.6385,1993.476
$10M,±15%,10,standard,1200.6691,0.0,1200.6691,0.0,0.0,40.08,400760.0,599240.0,1993.5418,1993.5394
$10M,±15%,10,privileged,1200.6691,0.0,1200.6691,0.0,0.0,40.08,400760.0,599240.0,1993.5418,1993.5394
$1000K,±5%,1,standard,2405.3609,263.6246,2668.9855,0.0,0.0,80.81,808150.0,191850.0,1963.0906,1965.9306
$1000K,±5%,1,privileged,2584.0439,263.2602,2847.3041,76.689,2.6934,86.78,867800.0,132200.0,1965.4547,1961.2702
$1000K,±5%,10,standard,2039.7158,0.0,2039.7158,0.0,0.0,68.51,685070.0,314930.0,1964.1866,1963.7424
$1000K,±5%,10,privileged,2039.7158,0.0,2039.7158,0.0,0.0,68.51,685070.0,314930.0,1964.1866,1963.7424
$1000K,±10%,1,standard,2059.6405,507.3531,2566.9936,0.0,0.0,69.39,693950.0,306050.0,1948.981,1944.2012
$1000K,±10%,1,privileged,2104.0328,517.3231,2621.3559,98.6391,3.7629,70.97,709650.0,290350.0,1944.2934,1948.8688
$1000K,±10%,10,standard,1483.3161,0.0,1483.3161,0.0,0.0,50.0,500000.0,500000.0,1946.6692,1946.6692
$1000K,±10%,10,privileged,1483.3161,0.0,1483.3161,0.0,0.0,50.0,500000.0,500000.0,1946.6692,1946.6692
$1000K,±15%,1,standard,619.6619,473.2964,1092.9583,0.0,0.0,20.9,209000.0,791000.0,1938.8907,1934.6176
$1000K,±15%,1,privileged,383.3545,463.8064,847.1608,91.6995,10.8243,12.88,128800.0,871200.0,1938.1102,1935.0995
$1000K,±15%,10,standard,1186.3488,0.0,1186.3488,0.0,0.0,40.08,400765.0,599235.0,1936.4121,1936.393
$1000K,±15%,10,privileged,1186.3488,0.0,1186.3488,0.0,0.0,40.08,400765.0,599235.0,1936.4121,1936.393
$500K,±5%,1,standard,2564.9519,416.1237,2981.0756,0.0,0.0,86.78,867800.0,132200.0,1931.5428,1923.1535
$500K,±5%,1,privileged,2689.8676,398.3993,3088.2669,81.1967,2.6292,91.0,910000.0,90000.0,1930.6385,1924.8466
$500K,±5%,10,standard,2028.5763,0.0,2028.5763,0.0,0.0,68.66,686590.0,313410.0,1928.4676,1929.3657
$500K,±5%,10,privileged,2028.3488,0.0,2028.3488,0.0399,0.002,68.65,686505.0,313495.0,1928.4932,1929.3161
$500K,±10%,1,standard,743.7611,726.0823,1469.8434,0.0,0.0,25.29,252850.0,747150.0,1898.7483,1889.8826
$500K,±10%,1,privileged,1699.608,765.0902,2464.6982,69.0969,2.8035,57.76,577600.0,422400.0,1897.1463,1891.4541
$500K,±10%,10,standard,1466.9501,0.0,1466.9501,0.0,0.0,50.0,500000.0,500000.0,1894.8674,1894.8674
$500K,±10%,10,privileged,1466.9501,0.0,1466.9501,0.0,0.0,50.0,500000.0,500000.0,1894.8674,1894.8674
$500K,±15%,1,standard,381.1062,647.3137,1028.4198,0.0,0.0,12.9,129050.0,870950.0,1877.8844,1872.1374
$500K,±15%,1,privileged,333.8139,648.0264,981.8403,55.0917,5.6111,11.33,113250.0,886750.0,1877.7435,1872.1106
$500K,±15%,10,standard,1170.8842,0.0,1170.8842,0.0,0.0,40.08,400805.0,599195.0,1875.0005,1874.9633
$500K,±15%,10,privileged,1170.8842,0.0,1170.8842,0.0,0.0,40.08,400805.0,599195.0,1875.0005,1874.9633
